GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libs-hoot,Hoot.Streams,TextFileWriteStream,82,53,0,0,24,15,7,5,7,5
libs-hoot,Hoot.Streams,FileStream,256,89,2,2,50,20,20,7,19,6
libs-hoot,Hoot.Streams,TextReadStream.Metaclass,24,39,0,0,4,10,2,6,2,6
libs-hoot,Hoot.Streams,TextReadStream,100,46,0,0,17,12,7,4,7,4
libs-hoot,Hoot.Streams,CollectionStream.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Streams,TextFileReadStream.Metaclass,0,39,0,0,0,10,0,6,0,6
libs-hoot,Hoot.Streams,FileWriteStream.Metaclass,90,81,9,3,16,17,10,7,4,7
libs-hoot,Hoot.Streams,WriteStream.Metaclass,0,59,0,0,0,14,0,8,0,8
libs-hoot,Hoot.Streams,BinaryFileWriteStream.Metaclass,24,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Streams,BinaryFileWriteStream,239,0,0,0,56,0,18,0,18,0
libs-hoot,Hoot.Streams,TextFileWriteStream.Metaclass,0,39,0,0,0,10,0,6,0,6
libs-hoot,Hoot.Streams,ReadStream.Metaclass,24,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Streams,FileWriteStream,57,26,0,0,18,9,5,3,5,3
libs-hoot,Hoot.Streams,WriteStream,105,66,0,0,24,16,8,6,8,6
libs-hoot,Hoot.Streams,BinaryFileReadStream.Metaclass,48,15,0,0,8,6,4,4,4,4
libs-hoot,Hoot.Streams,Transcript,249,92,0,0,62,28,13,9,13,9
libs-hoot,Hoot.Streams,FileStream.Metaclass,0,94,0,0,0,18,0,10,0,10
libs-hoot,Hoot.Streams,TextWriteStream.Metaclass,25,39,0,0,4,10,2,6,2,6
libs-hoot,Hoot.Streams,FileReadStream,196,13,0,0,38,5,15,2,15,2
libs-hoot,Hoot.Streams,BinaryFileReadStream,204,0,0,0,46,0,16,0,16,0
libs-hoot,Hoot.Geometry,Rectangle.Metaclass,22,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Geometry,Point.Metaclass,27,42,0,0,4,10,2,6,2,6
libs-hoot,Hoot.Geometry,Point,324,549,4,4,63,106,29,41,25,41
libs-hoot,Hoot.Geometry,Rectangle,283,383,2,0,67,82,21,27,20,27
libs-hoot,Hoot.Tests,FloatMath,0,62,0,0,0,13,0,3,0,3
libs-hoot,Hoot.Tests,TestBase,36,97,0,0,13,30,5,8,5,8
libs-hoot,Hoot.Tests,DictionaryWrites,0,142,0,0,0,33,0,4,0,4
libs-hoot,Hoot.Tests,TestableClosure,100,373,0,2,22,92,10,22,10,21
libs-hoot,Hoot.Tests,StringCompare,0,27,0,0,0,8,0,3,0,3
libs-hoot,Hoot.Tests,TestableCode,23,151,0,4,6,36,2,10,2,8
libs-hoot,Hoot.Tests,LibraryHeritage,0,44,0,0,0,10,0,3,0,3
libs-hoot,Hoot.Tests,ArrayCreates,0,36,0,0,0,12,0,4,0,4
libs-hoot,Hoot.Tests,SticBenchmark,0,76,0,0,0,15,0,2,0,2
libs-hoot,Hoot.Tests,IntegerMath,0,57,0,0,0,13,0,3,0,3
libs-hoot,Hoot.Tests,TestBase.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Tests,CollectionWrites,0,83,0,0,0,23,0,4,0,4
libs-hoot,Hoot.Tests,CollectionCycles,0,110,0,0,0,29,0,6,0,6
libs-hoot,Hoot.Tests,TextStream,0,95,0,0,0,18,0,6,0,6
libs-hoot,Hoot.Tests,FileStream,4,162,0,0,2,31,1,5,1,5
libs-hoot,Hoot.Tests,ArrayWrites,0,145,0,0,0,21,0,4,0,4
libs-hoot,Hoot.Tests,HanoiTower,47,336,0,6,13,67,7,23,7,20
libs-hoot,Hoot.Tests,HelloWorld,0,87,0,0,0,22,0,6,0,6
libs-hoot,Hoot.Behaviors,Behavior.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Behaviors,True,88,130,0,0,27,40,9,13,9,13
libs-hoot,Hoot.Behaviors,Object.Metaclass,23,41,0,0,4,10,2,6,2,6
libs-hoot,Hoot.Behaviors,Ordered,155,0,0,0,23,0,11,0,11,0
libs-hoot,Hoot.Behaviors,Class.Metaclass,12,15,0,0,3,6,1,4,1,4
libs-hoot,Hoot.Behaviors,False,89,130,0,0,27,40,9,13,9,13
libs-hoot,Hoot.Behaviors,MessageSend,159,0,4,0,33,0,11,0,9,0
libs-hoot,Hoot.Behaviors,Message,48,0,0,0,15,0,4,0,4,0
libs-hoot,Hoot.Behaviors,Nil,254,44,8,0,79,15,29,5,25,5
libs-hoot,Hoot.Behaviors,Behavior,314,480,9,11,79,121,30,35,23,32
libs-hoot,Hoot.Behaviors,MetaclassBase,45,19,2,0,12,6,4,1,3,1
libs-hoot,Hoot.Behaviors,Class,54,0,2,0,17,0,6,0,5,0
libs-hoot,Hoot.Behaviors,Object,723,278,3,9,173,72,60,25,57,22
libs-hoot,Hoot.Behaviors,Boolean,103,57,0,2,27,16,9,7,9,6
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.GlobalReferenceContext,41,0,4,0,11,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.KeywordSelectionContext,28,0,4,0,6,0,6,0,4,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.KeywordHeadContext,31,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ClassSignatureContext,35,0,4,0,9,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.CodedCommentContext,29,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.UnarySignatureContext,29,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ElementValueContext,38,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.FiledHeaderContext,47,0,4,0,11,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MessageContext,24,0,0,0,8,0,4,0,4,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.NestedTermContext,42,0,4,0,11,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ClassHeaderContext,41,0,4,0,10,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.StatementContext,38,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.KeywordMessageContext,56,0,4,0,14,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkFileParser,143,0,2,0,37,0,15,0,14,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.HeadsAndTailsContext,53,0,4,0,13,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.CodeCommentContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.LiteralSelfContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ElementValuesContext,66,0,4,0,16,0,13,0,11,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ExpressionContext,53,0,4,0,13,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MethodScopeContext,59,0,4,0,13,0,11,0,9,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkLexer,29,764,0,8,11,24,9,8,9,4
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.LocalVariablesContext,47,0,4,0,12,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.UnarySelectionContext,28,0,4,0,6,0,6,0,4,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.LiteralContext,92,0,4,0,20,0,18,0,16,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.NamedArgumentContext,32,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BinaryMessageContext,38,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkBaseListener,127,0,0,0,125,0,125,0,125,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BlockSignatureContext,61,0,4,0,15,0,11,0,9,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.UnarySelectorContext,31,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ProtoHeaderContext,29,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser,4853,622,148,8,1152,22,170,8,81,4
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MessageCascadeContext,34,0,4,0,9,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.UnitHeaderContext,35,0,4,0,9,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.SelfishContext,38,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.CompilationUnitContext,48,0,4,0,12,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.AssignmentContext,43,0,4,0,11,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.PrimaryContext,56,0,4,0,13,0,11,0,9,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.UnarySequenceContext,47,0,4,0,12,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MethodEndContext,29,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.KeywordTailContext,31,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BlockScopeContext,50,0,4,0,12,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MethodReaderContext,45,0,4,0,11,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.LiteralSuperContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BinarySelectionContext,28,0,4,0,6,0,6,0,4,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.VariableNameContext,31,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MethodBegContext,39,0,4,0,10,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.CommentHeaderContext,44,0,4,0,11,0,10,0,8,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BlockContentContext,61,0,4,0,15,0,11,0,9,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.KeywordSignatureContext,29,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.RadixedNumberContext,38,0,4,0,10,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.GlobalNameContext,31,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.FormulaContext,47,0,4,0,12,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.LiteralNilContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BlockEndContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.FiledCommentContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BinaryOperatorContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.EvaluationContext,32,0,4,0,9,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BinarySignatureContext,40,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BlockBegContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.MethodSignatureContext,44,0,4,0,11,0,9,0,7,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.WhiteSpacesContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.BangerContext,28,0,4,0,8,0,7,0,5,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ValueNameContext,38,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.LiteralBooleanContext,33,0,4,0,9,0,8,0,6,0
libs-hoot,Smalltalk.Compiler.Parser,SmalltalkParser.ExitResultContext,37,0,4,0,10,0,8,0,6,0
libs-hoot,Smalltalk.Blocks,Closure,69,106,0,0,12,28,4,7,4,7
libs-hoot,Smalltalk.Blocks,Predicate,65,128,2,6,13,37,7,10,5,8
libs-hoot,Hoot.Magnitudes,Fixed,394,278,2,0,65,56,26,17,25,17
libs-hoot,Hoot.Magnitudes,LargeInteger.Metaclass,24,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Magnitudes,Float.Metaclass,42,43,0,0,8,12,4,6,4,6
libs-hoot,Hoot.Magnitudes,Association.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Magnitudes,Rational,158,192,0,2,29,41,13,15,13,14
libs-hoot,Hoot.Magnitudes,Character,333,193,4,4,87,48,32,15,30,13
libs-hoot,Hoot.Magnitudes,Number.Metaclass,352,62,0,0,61,14,30,8,30,8
libs-hoot,Hoot.Magnitudes,Fixed.Metaclass,75,46,0,0,12,10,6,6,6,6
libs-hoot,Hoot.Magnitudes,FastInteger.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Magnitudes,Double,761,119,14,0,141,26,57,8,50,8
libs-hoot,Hoot.Magnitudes,Fraction,223,351,1,1,39,80,15,24,14,24
libs-hoot,Hoot.Magnitudes,SmallInteger,316,844,12,18,64,186,33,60,22,56
libs-hoot,Hoot.Magnitudes,Character.Metaclass,605,185,2,2,109,41,54,18,52,18
libs-hoot,Hoot.Magnitudes,Time.Metaclass,22,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Magnitudes,Fraction.Metaclass,22,116,0,0,4,23,2,10,2,10
libs-hoot,Hoot.Magnitudes,Rational.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Magnitudes,Float,547,285,16,4,104,63,43,22,34,21
libs-hoot,Hoot.Magnitudes,FastInteger,107,111,0,0,29,31,8,9,8,9
libs-hoot,Hoot.Magnitudes,Magnitude.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Magnitudes,Association,224,119,8,0,55,25,25,10,21,10
libs-hoot,Hoot.Magnitudes,SmallInteger.Metaclass,97,92,0,0,19,23,9,11,9,11
libs-hoot,Hoot.Magnitudes,LongInteger,213,120,5,1,45,33,18,11,15,11
libs-hoot,Hoot.Magnitudes,Integer.Metaclass,29,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Magnitudes,LongInteger.Metaclass,87,37,0,0,16,10,8,6,8,6
libs-hoot,Hoot.Magnitudes,LargeInteger,117,70,3,1,32,20,13,6,11,6
libs-hoot,Hoot.Magnitudes,Time,170,30,0,0,35,9,15,3,15,3
libs-hoot,Hoot.Magnitudes,Double.Metaclass,62,21,0,0,12,8,6,4,6,4
libs-hoot,Hoot.Magnitudes,Number,668,472,10,10,143,112,55,36,48,33
libs-hoot,Hoot.Magnitudes,Integer,768,284,5,9,159,69,55,27,52,23
libs-hoot,Hoot.Magnitudes,Magnitude,52,77,0,0,11,16,5,7,5,7
